"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"1537",0.997,36.5235,54.9252,39.1005,217.9554,45.4757,24.1692,32.8115,38.1025,144.69,44.691,27.7088,79.0742,42.3102,188.7122,160.6625,116.9413,63.4122,63.8091,29.0386,50.1483,47.9743,73.6405,52.0746,68.0556,26.0575,40.2976,59.0066,30.96,29.3205,45.8515,18.236,21.4257
"1538",1.994,4.9458,8.3758,6.2422,19.0444,5.1956,4.295,7.8582,8.0541,14.4985,8.9193,5.4795,10.7159,8.6349,12.6339,14.533,15.0015,10.2767,7.2881,5.753,9.2777,5.3996,10.8037,8.2839,11.4346,5.0054,4.9337,4.1346,4.4705,7.2613,6.2561,2.7978,3.6069
"1539",2.991,1.8693,4.0275,3.0733,4.9829,1.6265,2.1596,3.9332,3.5775,4.1388,2.2516,2.4543,4.1985,4.0372,3.3437,4.0564,4.3397,3.5977,2.6597,2.6965,3.507,1.6226,4.7619,3.4327,5.299,2.6366,1.621,0.7442,2.0922,4.0981,2.8357,1.0723,1.4029
"1540",3.988,1.0911,2.5907,2.0899,2.8895,1.1607,1.4024,2.5663,2.3684,2.6176,1.4529,1.5918,2.7335,2.8455,2.2595,2.7649,3.0291,2.5245,1.8911,1.8393,2.2044,0.7761,3.5873,2.2372,3.6495,1.6299,0.8533,0.4319,1.1628,2.5901,1.5239,0.6661,0.8447
"1541",4.985,0.7795,1.7248,1.3936,2.2213,0.9598,1.043,1.7353,1.5381,2.1474,1.0761,1.1348,2.0297,1.9681,1.5826,1.9687,1.911,1.5533,1.2351,1.319,1.4358,0.5472,2.4746,1.5756,2.3742,1.1162,0.5847,0.3421,0.8168,1.7872,1.1011,0.4768,0.5824
"1542",5.982,0.5659,1.315,1.0738,1.3948,0.663,0.7183,1.2852,1.1486,1.6559,0.9759,0.7948,1.329,1.3601,1.0477,1.4231,1.1986,1.0755,0.8485,0.8818,1.0475,0.3915,1.7907,1.1472,1.7299,0.8229,0.4622,0.2436,0.6641,1.4493,0.9398,0.3791,0.4236
"1543",6.979,0.4279,1.1225,1.0369,1.0908,0.4618,0.6438,1.0889,0.8413,1.1596,0.7271,0.5928,1.035,0.9969,0.7667,0.9866,1.0139,0.7353,0.6813,0.6932,0.7636,0.3469,1.2382,0.844,1.45,0.6758,0.3771,0.1501,0.5639,1.2397,0.8575,0.3091,0.3308
"1544",7.976,0.4033,0.8946,0.7972,1.1415,0.4983,0.6658,0.8875,0.8261,1.1013,0.6507,0.5813,0.8899,0.9157,0.8353,1.015,1.0005,0.7599,0.6213,0.5731,0.6564,0.3075,1.1866,0.7173,1.1185,0.5534,0.3038,0.1187,0.4262,0.9692,0.6315,0.2843,0.2503
"1545",8.973,0.3636,0.9462,0.7919,1.1339,0.6258,0.9661,0.9575,0.8698,1.0196,0.6737,0.6533,0.9682,0.9185,0.8847,0.9993,0.985,0.8247,0.6483,0.6305,0.7157,0.3093,0.9916,0.8383,1.2182,0.624,0.2801,0.1524,0.4898,1.0114,0.6947,0.2708,0.287
"1546",9.97,0.362,1.1675,0.9804,1.439,0.9141,1.2077,1.2364,1.2245,1.1576,0.7674,0.8691,1.2638,1.1174,1.0895,1.2207,1.0357,0.8462,0.7516,0.7614,0.7977,0.2673,0.9597,1.0695,1.5325,0.7812,0.3645,0.1639,0.5505,1.2733,0.8656,0.3169,0.3356
"1547",10.967,0.3547,0.8767,0.8136,1.2819,0.9124,1.9886,0.9845,1.1667,1.1908,0.8073,0.863,1.0349,0.9248,1.0012,1.2815,1.0841,0.7801,0.7192,0.63,0.6181,0.2809,0.882,0.8368,1.2156,0.6151,0.3118,0.1512,0.4224,0.9546,0.6171,0.2764,0.3553
"1548",11.964,0.3775,0.8661,0.9479,1.1547,0.8643,2.7107,1.0999,1.501,1.3848,0.8833,0.9945,0.9929,0.9235,1.092,1.2821,1.1003,0.7004,0.6716,0.6578,0.651,0.2874,0.7867,0.7951,1.1483,0.6144,0.2877,0.143,0.4244,0.915,0.614,0.2652,0.3283
"1549",12.961,0.3969,0.8373,0.956,1.0288,0.6587,2.6304,1.0375,1.4595,1.1679,0.6736,0.8898,0.9189,0.8333,1.0238,1.045,0.8169,0.6479,0.5395,0.6716,0.6034,0.2928,0.8327,0.7855,1.074,0.716,0.3159,0.1382,0.5237,0.8753,0.6148,0.2466,0.3361
"1550",13.958,0.4048,0.8739,1.0188,0.9185,0.5701,2.2501,1.1108,1.4582,1.0054,0.5718,0.7859,0.9075,0.8482,0.9421,0.9259,0.7833,0.5706,0.5535,0.662,0.6183,0.2622,0.6966,0.7304,1.0705,0.7175,0.2568,0.1247,0.5163,0.9067,0.6727,0.2525,0.3506
"1551",14.955,0.4593,0.7544,0.9466,0.7748,0.4524,1.7985,0.9765,1.3472,0.8489,0.5485,0.6686,0.8257,0.7101,0.7563,0.7927,0.672,0.4979,0.6333,0.6876,0.6129,0.2641,0.7834,0.6977,0.9836,0.6776,0.2709,0.1165,0.4735,0.8069,0.5709,0.2342,0.3097
"1552",15.952,0.5305,0.8495,1.1564,0.8266,0.4626,1.6371,1.1411,1.6314,0.8374,0.5108,0.7858,1.1093,0.9305,0.8715,0.9038,0.5893,0.5013,0.5095,0.7273,0.527,0.3017,0.7713,0.9002,1.224,0.8223,0.2887,0.129,0.4917,0.9427,0.6684,0.2749,0.3807
"1553",16.949,0.5369,0.7173,1.0223,0.6894,0.3956,1.5922,0.9732,1.6081,0.7658,0.4075,0.6505,1.072,0.9045,0.8157,0.7527,0.5696,0.4986,0.526,0.6733,0.4832,0.267,0.6294,0.9124,1.1051,0.775,0.2586,0.1171,0.5186,0.8224,0.6373,0.2371,0.4068
"1554",17.946,0.6039,0.7172,0.9891,0.5897,0.3451,1.6473,0.9244,1.519,0.6756,0.3735,0.641,1.0255,0.9669,0.9302,0.7164,0.655,0.5243,0.5047,0.708,0.4246,0.275,0.5699,0.9755,1.0863,0.7669,0.2478,0.112,0.5186,0.8004,0.638,0.2221,0.4523
"1555",18.943,0.6234,0.6559,0.9815,0.5765,0.327,1.5908,0.7922,1.4428,0.6806,0.3248,0.5404,0.9691,0.8431,0.8109,0.5933,0.5455,0.4918,0.4328,0.5868,0.3728,0.2313,0.5322,0.8158,0.8841,0.6219,0.2086,0.1183,0.4623,0.6722,0.5941,0.2107,0.5215
"1556",19.94,0.7134,0.6091,0.8934,0.5481,0.2858,1.9884,0.6714,1.3216,0.5914,0.3166,0.5041,0.8492,0.7393,0.718,0.501,0.5254,0.426,0.3784,0.5263,0.3124,0.2338,0.5062,0.7209,0.7377,0.5069,0.177,0.1126,0.4684,0.5607,0.6065,0.1959,0.5525
"1557",20.937,0.7328,0.641,0.9226,0.4938,0.2607,2.0616,0.6594,1.1304,0.4945,0.2805,0.3889,0.6852,0.5249,0.561,0.4327,0.4682,0.3547,0.3381,0.3963,0.269,0.275,0.4618,0.5267,0.649,0.3847,0.1844,0.1268,0.4535,0.534,0.6893,0.2098,0.739
"1558",21.934,0.7169,0.589,0.8708,0.4748,0.2504,2.7183,0.6433,1.1676,0.4096,0.2291,0.3326,0.517,0.4221,0.4726,0.412,0.4178,0.3301,0.2839,0.3083,0.2555,0.2489,0.3918,0.3844,0.5045,0.3309,0.1499,0.1112,0.451,0.4688,0.6257,0.2079,0.752
"1559",22.931,0.7193,0.5457,0.8581,0.4233,0.242,2.9822,0.5861,1.0856,0.3839,0.2211,0.2794,0.4354,0.3891,0.4368,0.351,0.4064,0.312,0.264,0.2628,0.2365,0.2505,0.4065,0.3432,0.4555,0.3295,0.1397,0.1045,0.4068,0.4384,0.633,0.1936,0.7258
"1560",23.928,0.6187,0.5241,0.7607,0.3911,0.2323,3.018,0.5702,0.9857,0.4072,0.2311,0.2396,0.3553,0.298,0.3732,0.3363,0.337,0.2534,0.2665,0.2096,0.2297,0.2163,0.3469,0.2901,0.4563,0.3176,0.1346,0.0968,0.3791,0.4105,0.5459,0.1801,0.6405
"1561",24.925,0.6262,0.5335,0.7227,0.3524,0.2205,3.6256,0.6261,1.1535,0.4536,0.2267,0.2211,0.3381,0.2953,0.3249,0.3084,0.3142,0.2473,0.2637,0.2246,0.2362,0.206,0.3318,0.3057,0.4922,0.3549,0.1399,0.0979,0.3852,0.4473,0.5884,0.1852,0.6693
"1562",25.922,0.5309,0.4801,0.6139,0.3404,0.2252,3.4592,0.5663,1.1224,0.4486,0.2227,0.2009,0.3411,0.2671,0.3227,0.2852,0.3033,0.2484,0.2657,0.2235,0.2334,0.2253,0.34,0.3294,0.4941,0.3926,0.1346,0.1045,0.4066,0.4294,0.4919,0.1864,0.4801
"1563",26.919,0.4622,0.417,0.6481,0.3035,0.1786,3.0836,0.5684,1.1304,0.3659,0.1909,0.1798,0.3254,0.2484,0.3073,0.2634,0.2919,0.2327,0.2133,0.2071,0.2149,0.2296,0.3361,0.2731,0.4441,0.34,0.1341,0.0903,0.326,0.3848,0.4458,0.1421,0.457
"1564",27.916,0.4428,0.3675,0.5443,0.291,0.1692,2.3148,0.443,0.9135,0.3206,0.2048,0.174,0.2955,0.2381,0.2852,0.2588,0.265,0.2448,0.1997,0.1875,0.204,0.2456,0.2963,0.267,0.4237,0.3332,0.1373,0.0851,0.2898,0.3278,0.359,0.1215,0.3971
"1565",28.913,0.3633,0.3178,0.5583,0.2811,0.1654,2.5684,0.4562,1.0076,0.2955,0.1842,0.1714,0.2952,0.2221,0.256,0.2101,0.2641,0.2015,0.2025,0.1876,0.188,0.2341,0.306,0.2649,0.4335,0.2963,0.1121,0.0881,0.2675,0.2665,0.3546,0.1204,0.4317
"1566",29.91,0.3686,0.309,0.5256,0.2804,0.153,2.8367,0.4028,0.9826,0.3679,0.1604,0.1402,0.2545,0.202,0.2231,0.2061,0.1948,0.1777,0.1725,0.1629,0.1678,0.2027,0.2723,0.2406,0.4525,0.2822,0.1062,0.0791,0.2333,0.2688,0.3574,0.1115,0.3945
"1567",30.907,0.3393,0.2765,0.5035,0.2517,0.1887,3.2451,0.3935,1.0614,0.3901,0.1687,0.1381,0.25,0.1914,0.2153,0.1824,0.2172,0.161,0.1487,0.154,0.1784,0.225,0.2677,0.2231,0.4027,0.2552,0.0958,0.0672,0.2335,0.2444,0.32,0.1157,0.3897
"1568",31.904,0.362,0.2881,0.5251,0.2822,0.1951,3.2707,0.3863,1.079,0.3179,0.1505,0.1276,0.2477,0.1857,0.213,0.2018,0.2036,0.1605,0.1509,0.1475,0.1835,0.2099,0.2573,0.2033,0.3413,0.2454,0.1062,0.0733,0.2466,0.2305,0.3143,0.1182,0.3539
"1569",32.901,0.3541,0.2757,0.5564,0.2696,0.1953,3.4667,0.4166,1.3012,0.3422,0.1561,0.144,0.2481,0.1831,0.2272,0.2152,0.2085,0.1645,0.1511,0.1427,0.1626,0.1938,0.2444,0.2041,0.2764,0.2311,0.1062,0.0773,0.2539,0.2023,0.2766,0.1024,0.4037
"1570",33.898,0.3739,0.2471,0.5526,0.2836,0.1707,3.6769,0.3997,1.2868,0.3652,0.1408,0.1177,0.2026,0.1549,0.1953,0.1724,0.1897,0.1492,0.1469,0.1333,0.185,0.1967,0.2358,0.1552,0.2367,0.1958,0.1088,0.0799,0.2541,0.182,0.2888,0.0983,0.3405
"1571",34.895,0.4165,0.2531,0.5701,0.2403,0.1708,3.6503,0.3878,1.2898,0.3502,0.1465,0.1233,0.2083,0.15,0.1779,0.1813,0.1746,0.1578,0.152,0.1289,0.159,0.2031,0.2488,0.1518,0.1897,0.2077,0.092,0.0726,0.218,0.163,0.2761,0.1004,0.3232
"1572",35.892,0.4812,0.241,0.5429,0.2756,0.1733,4.65,0.4286,1.5018,0.3826,0.1388,0.124,0.21,0.1372,0.1862,0.189,0.1749,0.1592,0.1375,0.1126,0.1458,0.182,0.2402,0.1384,0.1837,0.2068,0.1004,0.0762,0.2504,0.1601,0.2923,0.1101,0.3909
"1573",36.889,0.525,0.2683,0.5842,0.2755,0.1771,4.5924,0.4979,1.7699,0.3729,0.1248,0.1448,0.2523,0.1568,0.1881,0.1912,0.1516,0.1517,0.1404,0.1303,0.144,0.198,0.224,0.1586,0.223,0.253,0.0899,0.0703,0.292,0.1963,0.3349,0.1089,0.4031
"1574",37.886,0.5261,0.2817,0.5887,0.3037,0.169,4.3751,0.4528,1.6265,0.3269,0.1266,0.1361,0.2287,0.1665,0.1911,0.1983,0.1559,0.1654,0.1594,0.1375,0.1349,0.1791,0.2497,0.1521,0.2085,0.2584,0.1017,0.0705,0.2922,0.199,0.392,0.1156,0.4441
"1575",38.883,0.4958,0.2751,0.7073,0.327,0.1768,3.6109,0.3979,1.3335,0.3476,0.1465,0.1233,0.1962,0.1537,0.1732,0.2075,0.1647,0.1601,0.1555,0.1314,0.1294,0.1917,0.226,0.1512,0.1797,0.2786,0.1133,0.0722,0.3018,0.1962,0.4054,0.1158,0.4335
"1576",39.88,0.5398,0.2577,0.6835,0.275,0.1781,4.3524,0.4368,1.5249,0.3269,0.1384,0.1268,0.1989,0.1363,0.1757,0.1822,0.1631,0.1433,0.1331,0.1135,0.1377,0.1887,0.223,0.1278,0.1724,0.2336,0.1067,0.0781,0.2678,0.1816,0.3519,0.1146,0.4898
