"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"38913",0.997,50.9175,32.3617,24.1367,27.6557,44.5298,22.755,28.2544,20.579,27.8728,42.5708,26.9354,27.2395,38.3308,23.209,24.3876,18.7035,18.3623,18.3397,23.721,17.2959,16.2981,17.112,26.0201,28.9961,20.3416,10.2448,17.9712,16.2341,39.9447,29.5307,25.2366,150.3397
"38914",1.994,10.8143,11.2839,9.7251,7.229,5.958,7.1893,10.9993,9.1997,5.6034,6.0732,8.0392,11.3636,14.0359,10.2998,6.9808,10.6822,9.8351,9.8487,9.5993,8.1711,3.5143,6.3092,10.9119,11.9218,7.1257,2.6618,3.2119,4.4182,10.9609,8.3893,5.2591,20.1708
"38915",2.991,4.1695,5.4453,4.7596,2.9614,2.4999,3.5854,5.7556,5.0678,3.1911,2.698,4.442,6.0082,6.7634,5.7038,3.9589,5.9694,4.9892,4.8765,4.7725,4.2578,1.6848,3.15,5.4502,6.3345,3.744,1.3448,1.0511,2.0386,5.171,3.7338,1.932,6.2443
"38916",3.988,2.2266,2.7705,2.4877,1.8866,1.9013,2.0578,3.0347,2.6516,2.0623,2.1297,2.5118,3.129,3.3654,3.0101,2.4616,3.2538,2.614,2.6086,2.6674,2.4062,0.9411,1.8857,2.9134,3.4203,2.073,0.7989,0.6422,1.168,2.7971,1.8803,1.1242,3.048
"38917",4.985,1.6915,2.4794,2.2183,1.5812,1.552,1.8879,2.8076,2.3208,1.7817,1.8675,2.1445,2.5378,2.3805,2.3189,2.1013,2.3108,1.8434,1.7792,1.8189,1.4309,0.5916,1.1949,2.1284,2.8854,1.5378,0.4804,0.3959,0.7936,2.331,1.5645,0.6914,2.1094
"38918",5.982,1.2307,1.9073,1.6614,1.0833,0.9539,1.3276,2.1078,1.709,1.2851,1.3208,1.5294,1.8929,1.7567,1.7183,1.4708,1.8419,1.4634,1.3554,1.3673,1.0242,0.4577,0.948,1.6374,2.2885,1.2763,0.3684,0.3053,0.6893,1.8945,1.2606,0.5589,1.4916
"38919",6.979,1.0142,1.8559,1.4449,0.7401,0.6252,0.9749,2.0328,1.4929,0.85,0.796,1.0993,1.7071,1.4671,1.2689,0.9959,1.1907,0.9503,0.8996,1.1156,0.856,0.4051,0.8162,1.5098,2.2633,1.1861,0.3073,0.2356,0.591,1.878,1.1678,0.476,1.1922
"38920",7.976,1.2261,2.3776,1.9068,1.0429,0.805,1.3667,2.5164,1.8354,1.038,1.0276,1.383,2.0169,1.8628,1.5626,1.2133,1.4543,1.236,1.2369,1.4681,1.1268,0.546,1.063,1.859,2.7106,1.4992,0.4013,0.2486,0.8282,2.3724,1.5536,0.6368,1.3647
"38921",8.973,1.2,2.4333,2.032,1.1783,1.0139,1.5323,2.6384,2.0642,1.2496,1.2294,1.5899,2.3527,2.3375,1.992,1.5152,1.9425,1.5906,1.5524,1.8248,1.4732,0.6749,1.2405,2.1621,2.8852,1.6653,0.4326,0.2681,0.9373,2.5067,1.677,0.7021,1.3133
"38922",9.97,1.2569,2.4698,2.0781,1.0789,0.7977,1.5253,2.7529,2.3574,1.1739,1.0434,1.7952,2.8166,3.072,2.5023,1.8193,3.0097,2.2208,2.2903,2.3972,2.2226,0.8588,1.5195,2.6621,3.1351,1.9979,0.4595,0.2775,1.1154,2.6728,1.8224,0.8493,1.4538
"38923",10.967,1.6987,2.594,2.2172,1.1194,0.7216,1.4218,2.8431,2.2589,1.0027,1.2414,1.7709,2.9443,3.8641,3.1765,3.3306,7.0475,3.6232,3.3842,2.8228,4.273,1.4509,1.6747,2.9501,3.2519,2.1086,0.5178,0.2724,1.23,2.7107,2.0061,0.9559,1.7162
"38924",11.964,3.5211,3.7685,3.2775,2.0411,1.0671,2.0119,3.8789,2.901,1.2564,2.008,2.4325,3.9428,5.8723,5.4327,8.1818,17.5465,8.0688,10.265,6.148,16.3225,4.4096,3.7674,4.5642,4.5893,3.2682,0.74,0.3575,1.6503,3.7843,2.9187,1.4052,2.9592
"38925",12.961,2.6926,2.8264,2.5514,1.6974,1.0817,1.7534,2.9076,2.5812,1.3697,1.8333,2.8601,3.8702,8.0307,8.3543,7.6169,22.5419,12.9677,15.0753,10.3833,16.0293,3.6778,5.508,4.9441,3.4032,3.0587,0.8325,0.2663,1.1789,2.6983,2.0864,0.9583,2.2893
"38926",13.958,0.8032,0.9735,0.9493,0.6741,0.64,0.8387,1.0984,1.2466,0.955,1.0555,1.6892,1.7805,3.5948,4.4548,3.348,11.7822,6.7308,6.7932,4.1532,4.6862,1.0894,1.887,1.8959,1.2386,1.0392,0.388,0.2065,0.4374,0.9388,0.6752,0.3404,0.7365
"38927",14.955,0.3884,0.6098,0.56,0.4259,0.4809,0.5349,0.7001,0.6866,0.7378,0.7207,0.7796,0.8258,1.1347,1.2398,1.1745,2.6705,1.6185,1.802,1.15,1.5409,0.6173,0.66,0.7705,0.7656,0.51,0.268,0.1807,0.2656,0.6099,0.3961,0.1958,0.4155
"38928",15.952,0.3049,0.4399,0.4276,0.3602,0.4298,0.4363,0.5035,0.5038,0.7311,0.7011,0.5584,0.5475,0.6277,0.6846,0.9144,1.3341,0.8979,0.8384,0.5462,0.7106,0.6975,0.3852,0.4819,0.5416,0.3367,0.2624,0.1939,0.2157,0.4306,0.2882,0.1751,0.3369
