"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"44545",0.997,291.3022,101.5179,110.4441,903.829,313.289,325.8598,90.3007,136.5142,377.7974,850.9363,113.2626,87.7059,105.7538,104.713,119.6414,75.1556,90.3979,95.0591,63.7307,173.3605,768.6023,46.4712,117.5003,85.6519,84.5521,274.7112,136.3022,156.1401,89.8265,163.9034,420.9269,606.9402
"44546",1.994,17.0936,15.1813,11.8992,59.9411,15.3189,25.4059,13.2151,13.2933,19.652,32.2019,11.1725,13.1605,14.2297,13.7632,11.8141,12.2728,11.9509,11.9701,11.6619,10.3006,10.7283,8.8864,13.1736,13.1101,11.3138,39.5099,8.6104,9.6011,13.4293,16.0142,30.0807,24.9227
"44547",2.991,4.2584,5.2799,4.0798,13.329,3.1163,3.6846,5.0648,4.2635,3.8154,4.3587,3.8013,5.0108,5.0448,5.0986,4.2403,4.5637,4.3863,4.3829,4.0744,2.9971,1.4926,2.9401,4.7631,5.3908,3.3837,7.8861,1.9182,2.6287,5.0116,4.1591,3.5405,6.1228
"44548",3.988,2.4983,3.5598,2.6515,5.7747,1.811,2.3565,3.3539,2.6909,2.3097,2.369,2.2508,2.9466,2.7701,2.8825,1.9985,2.3411,2.2056,2.2193,2.1558,1.7774,0.8851,1.4595,2.8009,3.3708,2.1526,3.5197,1.1088,1.7229,3.2477,2.7917,2.1861,3.5102
"44549",4.985,2.0049,2.8268,2.1025,4.7645,1.0764,1.5753,2.8983,2.2145,1.3934,1.6303,1.6073,2.3105,2.1321,2.1628,1.493,1.7086,1.7003,1.5781,1.5722,1.0915,0.4956,1.0261,2.0624,2.7822,1.5917,1.9931,0.6982,1.1816,2.6505,1.9431,1.4457,2.4229
"44550",5.982,1.5589,2.5327,1.8165,2.4836,0.679,1.2567,2.6315,1.7242,1.0239,1.1611,1.3152,1.8222,1.5894,1.6145,1.249,1.35,1.1787,1.0132,1.1091,0.7957,0.3021,0.7688,1.5762,2.3784,1.1716,1.0319,0.484,0.9024,2.4924,1.665,0.8828,1.6115
"44551",6.979,1.4155,2.5732,1.9522,2.4338,0.6473,1.2475,2.6422,1.705,0.8534,0.6543,1.1307,1.6312,1.418,1.3792,1.0593,1.1112,1.0486,0.9848,1.0165,0.7982,0.2557,0.7925,1.4619,2.2352,1.1701,0.9692,0.4115,0.944,2.3382,1.8037,0.8875,1.7419
"44552",7.976,1.1396,2.1189,1.6173,1.9585,0.6539,1.1604,2.0456,1.4551,0.7898,0.6846,1.0694,1.4514,1.4259,1.3672,1.0747,1.1719,1.0923,1.0277,1.1174,0.7908,0.2493,0.7064,1.4194,1.8035,1.1648,0.771,0.414,0.8183,1.9866,1.5185,0.7838,1.3665
"44553",8.973,0.9837,1.6767,1.2278,1.5457,0.5754,0.946,1.6424,1.2928,0.7387,0.6939,1.0435,1.6033,1.7893,1.5673,1.1104,1.4016,1.395,1.5046,1.4859,0.9647,0.2267,0.8093,1.5879,1.703,1.1695,0.6518,0.3262,0.737,1.619,1.2076,0.6757,1.2034
"44554",9.97,0.7752,1.1124,0.8485,1.1684,0.6566,0.7964,1.1696,1.2399,0.8445,0.6651,1.344,1.8193,2.4879,2.3636,1.7329,2.1817,2.1031,2.5507,2.3276,1.5381,0.3145,0.9372,1.7804,1.378,0.957,0.5952,0.358,0.5641,1.1508,0.8496,0.6426,0.8589
"44555",10.967,0.946,1.2169,1.1254,1.9393,1.4698,1.533,1.4964,2.5486,1.7508,1.1471,3.5542,5.2777,9.6512,8.5921,4.5328,6.6229,6.4415,8.485,8.9638,4.3507,0.536,2.7637,5.4715,2.6585,2.0352,0.7244,0.402,0.7735,1.4149,0.8207,0.6926,0.9878
"44556",11.964,0.8707,1.0987,1.0483,1.4771,1.049,1.3293,1.332,1.9508,1.5128,1.0384,2.4518,3.1669,4.9046,4.881,3.2586,3.9739,3.669,4.7969,4.663,2.6745,0.4182,1.6035,2.9738,1.781,1.2823,0.5548,0.3528,0.6041,1.2291,0.8636,0.6394,0.9501
"44557",12.961,0.7087,0.894,0.7517,1.0175,0.6464,0.8498,0.9319,1.0531,0.9254,0.8268,1.1001,1.2026,1.3674,1.5539,1.3536,1.2276,1.147,1.3946,1.1223,0.7509,0.2803,0.5746,1.0055,0.9521,0.6726,0.5007,0.3848,0.5301,0.9193,0.704,0.6482,0.8087
"44558",13.958,0.5762,0.7442,0.6451,0.8369,0.5259,0.6804,0.7679,0.727,0.6495,0.7288,0.6701,0.7678,0.8424,0.8627,0.8488,0.8196,0.82,0.8993,0.7048,0.473,0.3123,0.4439,0.7298,0.7194,0.6163,0.4407,0.3161,0.4944,0.7721,0.6586,0.5355,0.7071
"44559",14.955,0.5824,0.6344,0.5605,0.8988,0.4927,0.5826,0.6447,0.5773,0.5915,0.6183,0.5602,0.5736,0.5962,0.6221,0.759,0.5948,0.6327,0.6866,0.491,0.4108,0.3405,0.3333,0.515,0.5632,0.5279,0.4451,0.3444,0.5847,0.6613,0.592,0.5971,0.6968
"44560",15.952,0.5957,0.6285,0.5178,0.9103,0.4638,0.5366,0.5892,0.5296,0.5483,0.6123,0.4892,0.513,0.5028,0.5255,0.6447,0.479,0.48,0.5148,0.4223,0.3445,0.44,0.3071,0.5286,0.5566,0.6552,0.3993,0.3308,0.641,0.6722,0.6001,0.5417,0.6694
"44561",16.949,0.6108,0.6795,0.5294,1.114,0.4193,0.4839,0.5901,0.4769,0.4703,0.5066,0.4431,0.4483,0.4431,0.4635,0.6088,0.4201,0.4246,0.4494,0.396,0.3353,0.4621,0.2978,0.4717,0.5058,0.6911,0.4456,0.3188,0.6818,0.6535,0.6263,0.525,0.6935
"44562",17.946,0.6765,0.5847,0.5148,1.3315,0.4665,0.5585,0.572,0.5388,0.5481,0.5383,0.4182,0.4483,0.434,0.4786,0.547,0.4203,0.4184,0.4942,0.4139,0.3173,0.4686,0.3325,0.4439,0.4785,0.6857,0.4941,0.3572,0.751,0.6959,0.7336,0.5166,0.6291
"44563",18.943,0.638,0.594,0.5211,1.7518,0.4698,0.5607,0.5553,0.4847,0.5118,0.4784,0.4269,0.4306,0.4483,0.4548,0.5482,0.4639,0.4551,0.5393,0.4897,0.3578,0.6646,0.3364,0.5011,0.4954,0.8426,0.557,0.3539,0.8481,0.8003,0.8674,0.5959,0.6259
"44564",19.94,0.6652,0.5814,0.5317,1.5915,0.5244,0.5812,0.5542,0.5464,0.596,0.4292,0.4882,0.5417,0.5324,0.5603,0.6169,0.53,0.5335,0.6547,0.5447,0.4714,0.7487,0.408,0.563,0.5295,0.872,0.653,0.412,1.103,0.7327,0.9141,0.7679,0.7639
"44565",20.937,0.6063,0.5765,0.4746,1.2009,0.5043,0.532,0.5495,0.553,0.6163,0.4589,0.5146,0.5531,0.5556,0.5985,0.6785,0.5641,0.5649,0.6399,0.5235,0.4004,0.8384,0.4507,0.5605,0.5626,0.8711,0.6843,0.3925,1.1301,0.7745,0.9221,0.653,0.6791
"44566",21.934,0.6793,0.5692,0.5016,0.9554,0.494,0.5695,0.5545,0.5663,0.5949,0.5442,0.4873,0.534,0.5336,0.5771,0.7187,0.5417,0.577,0.6856,0.5003,0.4024,0.9547,0.3807,0.5313,0.5371,0.7858,0.6221,0.423,1.1882,0.7174,0.8005,0.7352,0.6739
"44567",22.931,0.5856,0.5293,0.4545,0.8619,0.457,0.5808,0.5034,0.5376,0.695,0.4881,0.4434,0.4468,0.4416,0.4744,0.6273,0.4819,0.5169,0.5944,0.4545,0.3936,1.0137,0.3751,0.4724,0.4743,0.8006,0.5551,0.4152,1.0702,0.7122,0.8665,0.7017,0.6285
"44568",23.928,0.5537,0.4575,0.3916,0.8533,0.4611,0.4541,0.4305,0.4497,0.6424,0.453,0.4164,0.3922,0.3869,0.4133,0.6053,0.4141,0.4451,0.5446,0.394,0.3793,1.1763,0.3416,0.4162,0.4151,0.738,0.5771,0.4249,0.8645,0.5778,0.7325,0.6641,0.5876
"44569",24.925,0.6154,0.5102,0.4597,0.8994,0.4828,0.5696,0.4721,0.4661,0.7116,0.4957,0.4295,0.3888,0.3807,0.4058,0.7025,0.4325,0.4531,0.5473,0.3897,0.3915,1.2367,0.3505,0.4551,0.4422,0.8568,0.6319,0.4461,0.7446,0.6198,0.7138,0.6805,0.6935
"44570",25.922,0.6336,0.5058,0.4388,0.7886,0.4644,0.4721,0.477,0.4785,0.7079,0.4592,0.3941,0.4297,0.4237,0.4315,0.6687,0.433,0.4807,0.5643,0.4405,0.4071,1.3722,0.366,0.4887,0.4698,0.8909,0.5905,0.4878,0.9302,0.6342,0.7792,0.7549,0.7998
"44571",26.919,0.676,0.4698,0.4333,0.8344,0.5536,0.5632,0.4405,0.4509,0.6778,0.5357,0.4022,0.3766,0.3766,0.3939,0.6629,0.4041,0.4589,0.5125,0.3867,0.3983,1.3162,0.3708,0.4357,0.4252,0.7268,0.6004,0.4214,0.8303,0.5631,0.6919,0.6886,0.7535
"44572",27.916,0.5765,0.4211,0.3769,0.8429,0.4884,0.481,0.4001,0.4325,0.6892,0.5463,0.405,0.3591,0.3651,0.3807,0.7084,0.4037,0.4486,0.5045,0.4028,0.4038,1.1741,0.3801,0.445,0.4179,0.8389,0.5499,0.424,0.9302,0.5633,0.7333,0.6846,0.6924
"44573",28.913,0.6329,0.4169,0.4113,0.9097,0.5081,0.5756,0.3973,0.4463,0.7406,0.5267,0.3651,0.3364,0.3357,0.3508,0.6759,0.3788,0.3981,0.4607,0.3739,0.3763,1.2461,0.3273,0.4128,0.3887,0.8286,0.5639,0.4202,0.7191,0.5503,0.7569,0.6234,0.7615
"44574",29.91,0.5118,0.3952,0.3931,0.8356,0.4326,0.5936,0.3642,0.4008,0.7081,0.4273,0.3226,0.3199,0.3165,0.3133,0.4666,0.3357,0.3722,0.4561,0.3455,0.3641,0.9773,0.3098,0.3934,0.3691,0.8412,0.5416,0.4099,0.7705,0.519,0.7365,0.719,0.676
"44575",30.907,0.5169,0.3226,0.3166,0.7551,0.4103,0.5056,0.2989,0.3782,0.7197,0.5161,0.324,0.2974,0.3196,0.3293,0.5151,0.3695,0.4136,0.5092,0.3655,0.4159,1.2825,0.3088,0.3607,0.3162,0.7014,0.5737,0.4774,0.8267,0.438,0.6308,0.7063,0.6038
